#ID_REF = 		
#VALUE = Average Beta		
ID_REF	VALUE	Detection Pval
cg19252052	0.824673734853644	0
cg19252053	0.945852817616531	0
cg19252054	0.17788801070857	0
cg19252055	0.37850025922494	0
cg19252056	0.943179218257314	0
cg19252057	0.413053661205251	0
cg19252058	0.79740172006937	0
cg19252059	0.0252249199762197	0
cg19252060	0.589321315289683	0
cg19252061	0.89517808008699	0
cg19252062	0.693156015661249	0
cg19252063	0.494172532872213	0
cg19252064	0.544528157907839	0
cg19252065	0.779372929946591	0
cg19252066	0.887916151175761	0
cg19252067	0.486577326831932	0
cg19252068	0.861740877877757	0
cg19252069	0.4023328912013	0
cg19252070	0.829478109367394	0
cg19252071	0.514621387220104	0
cg19252072	0.937462463491372	0
cg19252073	0.0158063326090421	0
cg19252074	0.340631805439232	0
cg19252075	0.654961934876361	0
cg19252076	0.405987728199871	0
cg19252077	0.425475682552745	0
cg19252078	0.921253943930895	0
cg19252079	0.754111623446031	0
cg19252080	0.318632109369305	0
cg19252081	0.0657372628460979	0
cg19252082	0.576665793385791	0
cg19252083	0.956786650585045	0
cg19252084	0.209277346830913	0
cg19252085	0.0210720723638462	0
cg19252086	0.0626809153972883	0
cg19252087	0.718377236457363	0
cg19252088	0.631648218798518	0
cg19252089	0.170694873162002	0
cg19252090	0.245796190585286	0
cg19252091	0.806266144127454	0
cg19252092	0.931729139189018	0
cg19252093	0.231701431716282	0
cg19252094	0.267577949387926	0
cg19252095	0.702952758635188	0
cg19252096	0.258408047630542	0
cg19252097	0.653354496618226	0
cg19252098	0.369088940412575	0
cg19252099	0.61663536423806	0
cg19252100	0.0757908095307132	0
cg19252101	0.476781974261951	0
cg19252102	0.261321506645042	0
cg19252103	0.357481707800871	0
cg19252104	0.298514270096444	0
cg19252105	0.880516027725867	0
cg19252106	1	0
cg19252107	0.346242604942913	0
cg19252108	0.678436539745643	0
cg19252109	0.774615429116811	0
cg19252110	0.853831404546507	0
cg19252111	0.539474922654835	0
cg19252112	0.229667866694122	0
cg19252113	0.912322592799631	0
cg19252114	0.452503983985876	0
cg19252115	0.306351578267329	0
cg19252116	0.0370746967489877	0
cg19252117	0.712202602134454	0
cg19252118	0.129616469321229	0
cg19252119	0.0412668703244862	0
cg19252120	0.2304452543584	0
cg19252121	0.808182352036322	0
cg19252122	0.633973033749254	0
cg19252123	0.297616542642502	0
cg19252124	0.0429929087760094	0
cg19252125	0.612331855829563	0
cg19252126	0.0615011006491345	0
cg19252127	0.131540848465751	0
cg19252128	0.812083192903052	0
cg19252129	0.952093748805654	0
cg19252130	0.270485976464274	0
cg19252131	0.112889179349032	0
cg19252132	0.6594317932947	0
cg19252133	0.978100398979133	0
cg19252134	0.365527871975585	0
cg19252135	0.180390783363753	0
cg19252136	0.121192467748463	0
cg19252137	0.412427832780101	0
cg19252138	0.493951544134745	0
cg19252139	0.830756706534224	0
cg19252140	0.0211790769664144	0
cg19252141	0.0198485679349452	0
cg19252142	0.103077988873146	0
cg19252143	0.617167956263554	0
cg19252144	0.988625653701257	0
cg19252145	0.423214317135857	0
cg19252146	0.498122200735951	0
cg19252147	0.671261164692336	0
cg19252148	0.883031293115679	0
cg19252149	0.301277675623392	0
cg19252150	0.544834341498931	0
cg19252151	0.890162741213115	0
cg19252152	0.603688146197535	0
cg19252153	0.50702559344284	0
cg19252154	0.165487703850439	0
cg19252155	0.928526765195744	0
cg19252156	0.509537341816906	0
cg19252157	0.911469666024352	0
cg19252158	0.328705220252641	0
cg19252159	0.646092301474028	0
cg19252160	0.134714424203783	0
cg19252161	0.194579763018254	0
cg19252162	0.774969258763245	0
cg19252163	0.46690526410422	0
cg19252164	0.206297019403613	0
cg19252165	0.173471689607023	0
cg19252166	0.444638936204943	0
cg19252167	0.128688138111259	0
cg19252168	0.0454147486991397	0
cg19252169	0.674254246512899	0
cg19252170	0.513782279605435	0
cg19252171	0.767837870296181	0
cg19252172	0.0620707295685317	0
cg19252173	0.214826096729385	0
cg19252174	0.557506376490797	0
cg19252175	0.820722001682956	0
cg19252176	0.430614143208986	0
cg19252177	0.598466839048923	0
cg19252178	0.635437353237001	0
cg19252179	0.0066856982747724	0
cg19252180	0.0262980596330389	0
cg19252181	0.705693870927967	0
cg19252182	0.830650867766334	0
cg19252183	0.109479087185415	0
cg19252184	0.101517796908205	0
cg19252185	0.10535361148237	0
cg19252186	0.66059655040181	0
cg19252187	0.212999723802172	0
cg19252188	0.0916989014874285	0
cg19252189	0.890182264631435	0
cg19252190	0.257817420427817	0
cg19252191	0.954075875399731	0
cg19252192	0.634997382222987	0
cg19252193	0.469239535479625	0
cg19252194	0.0609368438326568	0
cg19252195	0.81716474095272	0
cg19252196	0.89598152103225	0
cg19252197	0.67541715690067	0
cg19252198	0.244715801050963	0
cg19252199	0.0018236549903666	0
cg19252200	0.979202598971435	0
cg19252201	0.0586713605035582	0
cg19252202	0.617403992540709	0
cg19252203	0.733987843782986	0
cg19252204	0.555828011902102	0
cg19252205	0.452829639375145	0
cg19252206	0.525884934512569	0
cg19252207	0.751620398266581	0
cg19252208	0.550395600026436	0
cg19252209	0.14381713538057	0
cg19252210	0.750723744302224	0
cg19252211	0.479673394909677	0
cg19252212	0.268461091221426	0
cg19252213	0.945737291291206	0
cg19252214	0.922227144278948	0
cg19252215	0.940024553724195	0
cg19252216	0.926466035948724	0
cg19252217	0.844992018118508	0
cg19252218	0.494122316681922	0
cg19252219	0.296764454258165	0
cg19252220	0.90421193074699	0
cg19252221	0.871889351029479	0
cg19252222	0.992115487355402	0
cg19252223	0.967241017045189	0
cg19252224	0.635928062653437	0
cg19252225	0.707750773614104	0
cg19252226	0.701538980673265	0
cg19252227	0.293308630658504	0
cg19252228	0.680496843534483	0
cg19252229	0.0138775285011871	0
cg19252230	0.500052682793003	0
cg19252231	0.890912827012589	0
cg19252232	0.937163297379305	0
cg19252233	0.986569305885896	0
cg19252234	0.918527846700757	0
cg19252235	0.438431465702533	0
cg19252236	0.642529207689482	0
cg19252237	0.00309220657540197	0
cg19252238	0.17163453906406	0
cg19252239	0.828884998695297	0
cg19252240	0.8635464316643	0
cg19252241	0.740492651096787	0
cg19252242	0.833766711322	0
cg19252243	0.69211593932759	0
cg19252244	0.595135505589373	0
cg19252245	0.270629326868035	0
cg19252246	0.17674841760346	0
